id,Artist Choice 1,Artist Choice 2,Artist Choice 3,Artist Choice 4,Artist Choice 5,Artist Choice 6,Artist Choice 7,Artist Choice 8,Artist Choice 9,Artist Choice 10,,
aj,Don Broco,NF,Yellowcard,Third Eye Blind,,,,,,,,"Playlists are created with the following structure:

1. Formulators are divided into their respective lines for the day based on the schedule.
2. SpotiFire searches for each artist on Spotify. Spelling must be correct!
3. For each artist, it retrieves the top ten tracks of the artist, then selects a random track from each of the three most related artists.
4. For each formulator, 30 of their tracks are selected and added to their lines playlist.
5. Finally, they are created as public playlists under my account: https://open.spotify.com/user/22ohoemhot7m75uv2ol5jgfga?si=89e3310df9724069

Explicit tracks are filtered out so choose your artists wisely☠️"
bb,SHINee,Fall Out Boy,,,,,,,,,,
ss,,,,,,,,,,,,
sv,Outkast,Lupe Fiasco,A Tribe Called Quest,Nelly,Bone Thugs-N-Harmony,,,,,,,
aln,T-Pain,Juice WRLD,Post Malone,Luke Combs,Calvin Harris,,,,,,,
bw,Capital Lights,Don McLean,Pet Shop Boys,A Perfect Circle,,,,,,,,
amw,The Beatles,Labrinth,Jelly Roll,Teddy Swims,The Neighbourhood,Benson Boone,,,,,,
cv,Queen,Mana,Freddie Mercury,,,,,,,,,
el,Frank Ocean,Bob Marley,Tame Impala,,,,,,,,,
fl,Dolla,Nicki Minaj,Zumba Fitness,Don Omar,,,,,,,,
gj,Thiaguinho,Ludmilla ,Iza,Ivete Sangalo,,,,,,,,
gmh,Googoosh,shahab tiam,Hassan shamaeizadeh,,,,,,,,,
ic,,,,,,,,,,,,
ij,SG Wannabe,Lee Seung Chul ,Jo Sung Mo,Kim Kwang Seok,,,,,,,,
jc,Lenny Kravitz,Young Dubliners,Pepper,Incubus,Ziggy Marley,Toad the Wet Sprocket,,,,,,
jb,Bad Bunny,Joji,Karol G,Goth Babe,Ozuna,Ariana Grande,,,,,,
mz,Joe P,Loud Luxury,Saint Motel,The Aces,,,,,,,,
nf,Outasight,American Authors,Chappell Roan,The Cranberries ,Rainbow Kitten Surprise,,,,,,,
rm,Taylor Swift,Mac miller ,,,,,,,,,,
sp,Nicki Minaj,dua lipa,linkin park,luke bryan,kali uchis,,,,,,,
st,Led Zeppelin,Tom Petty,Van Halen,,,,,,,,,
jm,Red hot chili pepper ,Dom Dolla,Weezer ,,,,,,,,,
sy,J Balvin,Kendrick Lamar,Eminem,Dr Dre,J Cole,mac miller ,,,,,,
njv,AJR,Florence & the Machine,OK GO,Muse,Fallout Boy,Owl City,TheFatRat,Bastille,Panic! at the Disco,,,
am,Celtic Woman,Red Hot Chili Peppers,Tame Impala,,,,,,,,,
ar,Peach Pit,Remi Wolf,Shakey Graves,Wallows,,,,,,,,
adj,Eivor,YOASOBI,Anya Nami,,,,,,,,,
bla,Abraham Mateo,Don Omar,Meghan Trainor,,,,,,,,,
bjm,Glass Animals,The White Stripes,Infected Mushroom,,,,,,,,,
gs,Alka Yagnik,Kesaria Balam,Neha Kakkar,Shah Rukh Khan,Sonu Nigam,,,,,,,
jp,Beastie Boys,Billy Idol,Rancid,David Bowie,Jurassic 5,Led Zeppelin,Nine Inch Nails,Outkast,Pantera,Primus,,
kw,Kid Cudi,Loveless,Slaves,,,,,,,,,
lb,Civil Twilight,Coldplay,Keane,OneRepublic,Tears for Fears,,,,,,,
lke,Chromeo,Jakubi,,,,,,,,,,
mcz,Lady Gaga,Renee Rap,,,,,,,,,,
mh,Matt Maeson,Mumford & Sons,NF,Two Feet,,,,,,,,
tg,Bon Jovi,,,,,,,,,,,
yv,Ariana Grande,Bruno Mars,Christina Aguilera,Jackson 5,Sam Smith,Becky G,,,,,,
acc,Alina Baraz,Clairo,Frank Sinatra,Lennon Stella,ODESZA,UMI,,,,,,
jmh,Bad Bunny,Still Woozy,,,,,,,,,,